"v1";"v2";"asso";"diss";"adja"
"157";"Aphanothecaceae";"Ostreidae";0.0106777033351471;0.703321511353397;0.296678488646603
"158";"Aphanothecaceae";"Pocilloporidae";0.0869802077050224;0.675655160675539;0.324344839324461
"159";"Aphanothecaceae";"Synechococcaceae";0.0709909145911035;0.681545701112147;0.318454298887853
"160";"Aplysiidae";"Attheyaceae";0.00820707278480254;0.70419916473083;0.29580083526917
"161";"Aplysiidae";"Coscinodiscaceae";0.0841074221059198;0.676717288789817;0.323282711210183
"162";"Aplysiidae";"Fragilariaceae";0.0963543030213432;0.672177691157129;0.327822308842871
"163";"Aplysiidae";"Gomphonemataceae";0.119053799996295;0.663681474806893;0.336318525193107
"164";"Aplysiidae";"Naviculaceae";0.0336571381394035;0.695105338010217;0.304894661989783
"165";"Aplysiidae";"Nephtheidae";0.0158137290986212;0.701493503498564;0.298506496501436
"166";"Aplysiidae";"Oxystominidae";0.0204371045155463;0.699843873833462;0.300156126166538
"167";"Aplysiidae";"Stephanodiscaceae";0.00399798801356607;0.705691863346331;0.294308136653669
"168";"Aplysiidae";"Thalassiosiraceae";0.130604155469538;0.659316253603103;0.340683746396897
"169";"Apogonidae";"Blenniidae";0.0387048582079141;0.693287509548559;0.306712490451441
"170";"Apogonidae";"Chloropicaceae";0.434594690988633;0.531697897781892;0.468302102218108
"171";"Apogonidae";"Echeneidae";0.018410161997344;0.700567569190387;0.299432430809613
"172";"Apogonidae";"Penaeidae";0.00345934478837742;0.705882658524638;0.294117341475362
"173";"Apogonidae";"Salmonidae";0.287740186373535;0.596766207834553;0.403233792165447
"174";"Apusomonadidae";"Codiaceae";-0.0139172035761931;0.712010253990837;0.287989746009163
"175";"Apusomonadidae";"Cynoglossidae";0.116841772270973;0.664514193877387;0.335485806122613
"176";"Apusomonadidae";"Fonticulaceae";0.292851081461685;0.594621273811455;0.405378726188545
"177";"Apusomonadidae";"Gloeobacteraceae";0.120966054045238;0.662960762773621;0.337039237226379
"178";"Arcidae";"Eucalanidae";0.00578355687837959;0.705059019913092;0.294940980086908
"179";"Arcidae";"Gloeomargaritaceae";0.0831330941192492;0.677077139578922;0.322922860421078
"180";"Arcidae";"Oedogoniaceae";0.0691807652272136;0.682209364774769;0.317790635225231
"181";"Arcidae";"Parameciidae";0.0422093206150196;0.692022643915999;0.307977356084001
"182";"Arcidae";"Prasiolaceae";0.112425550919091;0.666173569379974;0.333826430620026
"183";"Areschougiaceae";"Gelidiaceae";0.000874936324909398;0.706797376790226;0.293202623209774
"184";"Areschougiaceae";"Gromiidae";0.00637201936668305;0.704850331855394;0.295149668144606
"185";"Areschougiaceae";"Hapalidiaceae";0.0136448210575827;0.702266038956184;0.297733961043816
"186";"Areschougiaceae";"Myctophidae";0.254829210828372;0.610397734748266;0.389602265251734
"187";"Areschougiaceae";"Parameciidae";0.303710909572248;0.590037748973636;0.409962251026364
"188";"Areschougiaceae";"Phacaceae";0.0612744508405332;0.685100558005709;0.314899441994291
"189";"Areschougiaceae";"Phyllophoraceae";0.0156908198057196;0.701537304850669;0.298462695149331
"190";"Asteriidae";"Chrysolepidomonadaceae";-0.0346722225402324;0.719260808935199;0.280739191064801
"191";"Asteriidae";"Hyalellidae";0.351563843271204;0.569401508923534;0.430598491076466
"192";"Asteriidae";"Koliellaceae";-0.0211812036424625;0.714556227193656;0.285443772806344
"193";"Asteriidae";"Odobenidae";-0.00647631722257569;0.709392809810818;0.290607190189182
"194";"Asteriidae";"Pectinidae";0.00864881095355158;0.704042324383431;0.295957675616569
"195";"Asteriidae";"Vahlkampfiidae";0.0513987314862268;0.688694877472518;0.311305122527482
"196";"Attheyaceae";"Bacillariaceae";0.199546396631267;0.632634809099505;0.367365190900495
"197";"Attheyaceae";"Kryptoperidiniaceae";0.044629143293395;0.691147906278607;0.308852093721393
"198";"Attheyaceae";"Monodopsidaceae";0.125865849970689;0.661110486238613;0.338889513761387
"199";"Attheyaceae";"Phaeocystaceae";0.368090626556607;0.562098467104916;0.437901532895084
"200";"Attheyaceae";"Stephanodiscaceae";0.0614510415965874;0.685036115253573;0.314963884746427
"201";"Attheyaceae";"Terebellidae";0.0725884412621149;0.680959455011047;0.319040544988953
"202";"Attheyaceae";"Ulnariaceae";0.0425137673978954;0.691912650773963;0.308087349226037
"203";"Bacillariaceae";"Cionidae";-0.141119632934979;0.755354100053405;0.244645899946595
"204";"Bacillariaceae";"Eunotiaceae";0.0461850293837467;0.690584886388434;0.309415113611566
"205";"Bacillariaceae";"Gomphonemataceae";0.0546942538927198;0.687497544034624;0.312502455965376
"206";"Bacillariaceae";"Mustelidae";-0.0415318503732926;0.721641133241895;0.278358866758105
"207";"Bacillariaceae";"Naviculaceae";0.14755920728801;0.652855570824049;0.347144429175951
"208";"Bacillariaceae";"Oxystominidae";0.013081646086394;0.702466495255683;0.297533504744317
"209";"Bacillariaceae";"Skeletonemataceae";0.0218711829798982;0.699331401061078;0.300668598938922
"210";"Balaenopteridae";"Clupeidae";0.0371436850695863;0.69385024138153;0.30614975861847
"211";"Balaenopteridae";"Delphinidae";0.572223500042705;0.462480540108065;0.537519459891935
"212";"Balaenopteridae";"Pelagiidae";0.0193609906564141;0.700228180432488;0.299771819567512
"213";"Balaenopteridae";"Phocoenidae";0.163647817134435;0.646665362790356;0.353334637209644
"214";"Balaenopteridae";"Physeteridae";0.136313006586914;0.657148002132353;0.342851997867647
"215";"Balaenopteridae";"Pycnococcaceae";0.100241368404348;0.670730434524799;0.329269565475201
"216";"Balaenopteridae";"Sargassaceae";0.011578748238379;0.703001156386539;0.296998843613461
"217";"Bangiaceae";"Clupeidae";0.0135190064046513;0.70231082634235;0.29768917365765
"218";"Bangiaceae";"Harpacticidae";0.0192014333416749;0.70028514430135;0.29971485569865
"219";"Bangiaceae";"Hydridae";0.000675869106051802;0.706867784983142;0.293132215016858
"220";"Bangiaceae";"Leptolyngbyaceae";0.0542539393210128;0.687657640355645;0.312342359644355
"221";"Bangiaceae";"Mesotaeniaceae";0.0463464820081722;0.690526436131097;0.309473563868903
"222";"Bangiaceae";"Pseudanabaenaceae";0.0322069954713975;0.695626697492485;0.304373302507515
"223";"Bangiaceae";"Zosteraceae";0.0527345342372801;0.688209802953547;0.311790197046453
"224";"Bathycoccaceae";"Chrysolepidomonadaceae";-0.00455720775313306;0.708716165948376;0.291283834051624
"225";"Bathycoccaceae";"Geminigeraceae";0.011078699841507;0.70317896020803;0.29682103979197
