;module;degree_centrality;betweenness_centrality;keystonness
Scytonemataceae;5.0;3.0615979564076522e-06;0.0;3.0615979564076522e-06
Prochloraceae;5.0;0.00010457976865891055;0.010637250073869793;0.010741829842528704
Oscillatoriaceae;5.0;0.00010466931926776552;0.021077514035260515;0.021182183354528282
Mamiellaceae;5.0;0.04579989984849001;0.0014158980868327854;0.047215797935322795
Pocilloporidae;5.0;1.7630006622395624e-05;0.0;1.7630006622395624e-05
Triparmaceae;5.0;0.01307075385453243;0.0;0.01307075385453243
Asteriidae;5.0;0.0032644506762630992;0.07032404215502808;0.07358849283129118
Vahlkampfiidae;5.0;0.018761578821202003;0.07958238944154437;0.09834396826274638
Bathycoccaceae;5.0;0.07753362229694297;0.017225348484292524;0.09475897078123549
Ostreidae;5.0;1.8161221107261523e-05;0.010637250073869793;0.010655411294977055
Pectinidae;5.0;0.0006027268860111925;0.06195213237466759;0.06255485926067877
Phocidae;5.0;0.00010160772131135787;0.0;0.00010160772131135787
Licmophoraceae;5.0;0.10802666630824638;0.09207648963814921;0.2001031559463956
Physeteridae;6.0;0.00010106256653120574;0.0;0.00010106256653120574
Synechococcaceae;6.0;3.406140447086656e-05;0.03525910709009299;0.03529316849456386
Balaenopteridae;6.0;0.00047868748085810664;0.04749303521587574;0.047971722696733846
Clupeidae;6.0;0.0001205641505252075;0.028590576172571647;0.028711140323096854
Noelaerhabdaceae;6.0;5.914066992972227e-06;0.010637250073869793;0.010643164140862766
Delphinidae;6.0;0.0025159637994031188;0.06253784955646471;0.06505381335586784
Phocoenidae;6.0;0.00010106256653120574;0.0;0.00010106256653120574
Mytilidae;6.0;0.0004242612972058606;0.0;0.0004242612972058606
Chlorellaceae;6.0;9.977766983980373e-07;0.0;9.977766983980373e-07
