Age [ka BP]	δ18O H2O [‰ SMOW]
29.60	-44.83
29.65	-44.83
29.65	-44.47
29.70	-44.47
29.70	-45.11
29.75	-45.11
29.75	-44.22
29.80	-44.22
29.80	-44.37
29.85	-44.37
29.85	-45.09
29.90	-45.09
29.90	-43.74
29.95	-43.74
29.95	-44.04
30.00	-44.04
30.00	-44.88
30.05	-44.88
30.05	-43.76
30.10	-43.76
30.10	-43.35
30.15	-43.35
30.15	-43.83
30.20	-43.83
30.20	-42.23
30.25	-42.23
30.25	-42.37
30.30	-42.37
30.30	-43.00
30.35	-43.00
30.35	-43.85
30.40	-43.85
30.40	-43.12
30.45	-43.12
30.45	-43.65
30.50	-43.65
30.50	-44.24
30.55	-44.24
30.55	-44.21
30.60	-44.21
30.60	-43.66
30.65	-43.66
30.65	-43.89
30.70	-43.89
30.70	-43.58
30.75	-43.58
30.75	-43.28
30.80	-43.28
30.80	-44.29
30.85	-44.29
30.85	-44.13
30.90	-44.13
30.90	-43.22
30.95	-43.22
30.95	-43.74
31.00	-43.74
31.00	-44.21
31.05	-44.21
31.05	-43.46
31.10	-43.46
31.10	-43.08
31.15	-43.08
31.15	-44.40
31.20	-44.40
31.20	-43.69
31.25	-43.69
31.25	-44.02
31.30	-44.02
31.30	-43.95
31.35	-43.95
31.35	-43.09
31.40	-43.09
31.40	-43.68
31.45	-43.68
31.45	-43.39
31.50	-43.39
31.50	-44.07
31.55	-44.07
31.55	-43.65
31.60	-43.65
31.60	-43.96
31.65	-43.96
31.65	-43.40
31.70	-43.40
31.70	-43.57
31.75	-43.57
31.75	-41.55
31.80	-41.55
31.80	-41.70
31.85	-41.70
31.85	-40.61
31.90	-40.61
31.90	-40.30
31.95	-40.30
31.95	-40.43
32.00	-40.43
32.00	-40.40
32.05	-40.40
32.05	-39.94
32.10	-39.94
32.10	-39.88
32.15	-39.88
32.15	-38.92
32.20	-38.92
32.20	-42.28
32.25	-42.28
32.25	-43.91
32.30	-43.91
32.30	-43.81
32.35	-43.81
32.35	-44.18
32.40	-44.18
32.40	-44.26
32.45	-44.26
32.45	-43.77
32.50	-43.77
32.50	-44.17
32.55	-44.17
32.55	-44.69
32.60	-44.69
32.60	-45.14
32.65	-45.14
32.65	-43.84
32.70	-43.84
32.70	-42.97
32.75	-42.97
32.75	-43.48
32.80	-43.48
32.80	-43.68
32.85	-43.68
32.85	-43.81
32.90	-43.81
32.90	-43.26
32.95	-43.26
32.95	-43.21
33.00	-43.21
33.00	-43.56
33.05	-43.56
33.05	-44.19
33.10	-44.19
33.10	-43.14
33.15	-43.14
33.15	-41.10
33.20	-41.10
33.20	-40.38
33.25	-40.38
33.25	-39.92
33.30	-39.92
33.30	-39.66
33.35	-39.66
33.35	-39.82
33.40	-39.82
33.40	-39.78
33.45	-39.78
33.45	-39.03
33.50	-39.03
33.50	-41.04
33.55	-41.04
33.55	-41.91
33.60	-41.91
33.60	-42.70
33.65	-42.70
33.65	-42.73
33.70	-42.73
33.70	-43.26
33.75	-43.26
33.75	-43.32
33.80	-43.32
33.80	-42.49
33.85	-42.49
33.85	-42.92
33.90	-42.92
33.90	-42.72
33.95	-42.72
33.95	-42.85
34.00	-42.85
34.00	-42.59
34.05	-42.59
34.05	-43.38
34.10	-43.38
34.10	-43.09
34.15	-43.09
34.15	-42.81
34.20	-42.81
34.20	-42.61
34.25	-42.61
34.25	-42.97
34.30	-42.97
34.30	-43.38
34.35	-43.38
34.35	-42.98
34.40	-42.98
34.40	-41.93
34.45	-41.93
34.45	-42.20
34.50	-42.20
34.50	-40.05
34.55	-40.05
34.55	-40.50
34.60	-40.50
34.60	-40.40
34.65	-40.40
34.65	-40.77
34.70	-40.77
34.70	-41.17
34.75	-41.17
34.75	-40.99
34.80	-40.99
34.80	-40.30
34.85	-40.30
34.85	-39.35
34.90	-39.35
34.90	-40.17
34.95	-40.17
34.95	-39.67
35.00	-39.67
35.00	-39.80
35.05	-39.80
35.05	-39.36
35.10	-39.36
35.10	-39.51
35.15	-39.51
35.15	-39.24
35.20	-39.24
35.20	-38.78
35.25	-38.78
35.25	-38.63
35.30	-38.63
35.30	-39.86
35.35	-39.86
35.35	-42.62
35.40	-42.62
35.40	-42.74
35.45	-42.74
35.45	-42.83
35.50	-42.83
35.50	-42.60
35.55	-42.60
35.55	-41.95
35.60	-41.95
35.60	-42.58
35.65	-42.58
35.65	-43.43
35.70	-43.43
35.70	-44.52
35.75	-44.52
35.75	-44.52
35.80	-44.52
35.80	-42.59
35.85	-42.59
35.85	-43.13
35.90	-43.13
35.90	-43.32
35.95	-43.32
35.95	-42.93
36.00	-42.93
36.00	-42.81
36.05	-42.81
36.05	-42.43
36.10	-42.43
36.10	-42.75
36.15	-42.75
36.15	-43.32
36.20	-43.32
36.20	-42.88
36.25	-42.88
36.25	-42.00
36.30	-42.00
36.30	-43.06
36.35	-43.06
36.35	-42.12
36.40	-42.12
36.40	-41.75
36.45	-41.75
36.45	-43.23
36.50	-43.23
36.50	-42.21
36.55	-42.21
36.55	-40.82
36.60	-40.82
36.60	-41.05
36.65	-41.05
36.65	-41.09
36.70	-41.09
36.70	-41.26
36.75	-41.26
36.75	-40.40
36.80	-40.40
36.80	-41.54
36.85	-41.54
36.85	-41.31
36.90	-41.31
36.90	-41.52
36.95	-41.52
36.95	-41.01
37.00	-41.01
37.00	-41.33
37.05	-41.33
37.05	-40.96
37.10	-40.96
37.10	-40.21
37.15	-40.21
37.15	-40.02
37.20	-40.02
37.20	-39.59
37.25	-39.59
37.25	-39.93
37.30	-39.93
